epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,554.521,0.82457,0.45639,0.89102,0.91969,0.79496,0.80099,0.53101,1.02161,0.46987,0.99739,0.000280723,0.000280723,0.000280723
86,560.431,0.83785,0.46671,0.88078,0.92183,0.79225,0.81972,0.53261,1.00688,0.46612,0.99746,0.00026422,0.00026422,0.00026422
87,566.873,0.79249,0.44624,0.87062,0.91346,0.79298,0.81518,0.53241,0.9984,0.45862,0.9984,0.000247716,0.000247716,0.000247716
88,573.337,0.81226,0.436,0.8836,0.96591,0.82395,0.85313,0.5403,1.00611,0.46695,0.99144,0.000231213,0.000231213,0.000231213
89,579.226,0.78108,0.44002,0.878,0.92197,0.7992,0.82032,0.53739,1.01079,0.47067,0.99068,0.00021471,0.00021471,0.00021471
90,585.928,0.78756,0.43783,0.87885,0.92297,0.79708,0.81966,0.53782,0.99439,0.45139,0.98769,0.000198206,0.000198206,0.000198206
91,592.719,0.73876,0.40752,0.86542,0.98222,0.79281,0.82344,0.53845,1.00073,0.44979,0.98961,0.000181703,0.000181703,0.000181703
92,599.23,0.7326,0.40115,0.86813,0.96522,0.79285,0.81591,0.53187,1.00468,0.44336,0.99368,0.0001652,0.0001652,0.0001652
93,605.663,0.71917,0.40485,0.8618,0.96503,0.79284,0.81792,0.53268,1.00529,0.44927,0.99264,0.000148696,0.000148696,0.000148696
94,611.606,0.7339,0.40129,0.87143,0.97005,0.79496,0.82377,0.53963,1.00533,0.46074,0.99187,0.000132193,0.000132193,0.000132193
95,618.76,0.72348,0.40274,0.86709,0.96978,0.79284,0.82212,0.52903,1.00544,0.45981,0.99365,0.00011569,0.00011569,0.00011569
96,625.495,0.73201,0.3954,0.87284,0.96887,0.79284,0.82137,0.53643,1.00958,0.45043,1.00083,9.91865e-05,9.91865e-05,9.91865e-05
97,631.327,0.71879,0.39184,0.86122,0.96783,0.79284,0.82073,0.53343,1.0053,0.45534,0.99692,8.26832e-05,8.26832e-05,8.26832e-05
98,637.743,0.72795,0.39754,0.87004,0.96638,0.79496,0.82053,0.53829,1.0029,0.44805,0.99972,6.61799e-05,6.61799e-05,6.61799e-05
99,644.147,0.72219,0.38649,0.88633,0.96641,0.79496,0.82053,0.54084,0.99917,0.4445,0.9992,4.96766e-05,4.96766e-05,4.96766e-05
100,650.005,0.69323,0.38086,0.85499,0.96964,0.79467,0.8223,0.53354,0.99933,0.44316,0.99761,3.31733e-05,3.31733e-05,3.31733e-05
